"name","category","component_url","copied_link","thumbnail_url","thumbnail_file","status"
"3D Coin · customizable 3D coin spinner","Categories","https://www.framer.com/community/marketplace/components/3d-coin/","https://framer.com/m/Coin3D-GVLqhc.js@B0lIOPySFFakgTs12mMj","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/media/4b6fcd8f-a982-4dfd-a445-68ca06faffec/2efs4y3c","output/thumbnails/3d-coin.jpg","Copied component [paste]"
"3D Depth Button · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-depth-button/","https://framer.com/m/3D-Depth-Button-VdXH.js@RDgaAnyWXBUIsJxcTeGr","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/OB9isI4yuTiQWQGA5SPu/3d-depth-button-EhxqP8bfWvLRTL7d3Mht8wKrvkY96J","output/thumbnails/3d-depth-button.jpg","Copied component [paste]"
"3D Depth Text Effect · Free Typography Component","Categories","https://www.framer.com/community/marketplace/components/3d-depth-text-effect/","https://framer.com/m/DepthTextEffect-BZvb.js@pCrCmRkP1gJdxxR4GjaI","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/ZXGVpRCoU3DBjYXsPqsC/3d-depth-text-effect-Rh0N2XGkQjH1TIiYK97JtRUjuoEs14","output/thumbnails/3d-depth-text-effect.jpg","Copied component [paste]"
"3d DigitalClock · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-digitalclock/","https://framer.com/m/DigitalClock-S1pE.js@O0QsOWXlb83jEiNbwiUA","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/7TidiE5rcF3fmIUFTATH/3d-digitalclock-MW2tT8RFGWczMmjpb6fKMxZM2KA951","output/thumbnails/3d-digitalclock.png","Copied component [paste]"
"3D Flip Card · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-flip-card/","https://framer.com/m/FlipCard-5rQ9.js@Bfm4iXxehEahJxoOelkH","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/h9N7yjMZihTunOIO7Wss/3d-flip-card-AFMluEwfS36fgh3Jf8v6FcOJRYc4hP","output/thumbnails/3d-flip-card.jpg","Copied component [paste]"
"3D Gradient Button · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-gradient-button/","https://framer.com/m/GradientButton3D-dU72Eq.js@SMOUmB7zs5qf2OcOYh44","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/EmEGukkOJToehz8gxyrx/3d-gradient-button-qAeYG268I07O9y6rx00bjoEIn0hoGO","output/thumbnails/3d-gradient-button.jpg","Copied component [paste]"
"3D Hover Card · Pop-Out Effect","Categories","https://www.framer.com/community/marketplace/components/3d-hover-card/","https://framer.com/m/Hover-effect-sLTXCs.js@q6kV7Z9Ab12cbh6Vhc5T","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/media/d20b6df6-681d-4c9b-b43a-ce9e366db717/2rmxg7xo","output/thumbnails/3d-hover-card.png","Copied component [paste]"
"3D Image Carousel · 3D Carousel","Categories","https://www.framer.com/community/marketplace/components/3d-image-carousel/","https://framer.com/m/Carousel3D-V1-82mU.js@4KBRsdLQj5Std4TR4FJD","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/0fdXFBUdmLVTvDuutzV1/3d-image-carousel-xc4raJijZgiYRRVosTylZ2KRVVvM8g","output/thumbnails/3d-image-carousel.png","Copied component [paste]"
"3D Layer Reveal · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-layer-reveal-effe/","https://framer.com/m/Layer-card-jFlL.js@oC78510lPAquGm4ugR0a","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/r3MCpLqpuWyzUCLR1ut2/3d-layer-reveal-effe-p815ybyIi29TidFa7aoCUyoz4MUB49","output/thumbnails/3d-layer-reveal-effe.jpg","Copied component [paste]"
"3D Magazine · Interactive 3D flipbook magazine","Categories","https://www.framer.com/community/marketplace/components/3d-magazine/","https://framer.com/m/ThreeD-magazine-framer-vWSZ.js@0T7JS6GmO5Ie67Z04tPC","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/media/5adc9354-58b8-41ef-8dc9-9b6c8b000586/0l8jsfwg","output/thumbnails/3d-magazine.png","Copied component [paste]"
